|Município|data_ref|Code|Cidades|0 a 14 anos|15 a 29 anos|30 a 59 anos|60+ anos|Masculino|Feminino|Pop_Total|Atendimentos_valor_medio|Psi_valor_medio|Psi_privado_valor_medio|Atendimentos_qtd_media|Psi_qtd_media|Psi_privado_qtd_media|Profissionais_Publicos|Profissionais_Privados|Profissionais_Total|Estabelecimentos_Publicos|Estabelecimentos_Privados|Estabelecimentos_Total_x|Estabelecimentos_Psi|Estabelecimentos_Atend|Estabelecimentos_Total_y|Contribuição para o PIB estadual %|PIB (mil R$)|Assalariados|Renda média em Salários mínimos|Renda média (R$)
101|350900 Caieiras|2020|350900|Caieiras|22238|23978|44299|12260|49920|52855|102775|119667.85|1605.54||27792.67|687.92||19.0|17.0|36.0|26.0|47.0||52.0|72.0|77.0|||||
102|350910 Caiuá|2020|350910|Caiuá|996|1113|2716|1121|3198|2748|5946|439.3|||5337.0|||6.0|0.0|6.0|7.0|0.0||6.0|6.0|7.0|||||
103|350920 Cajamar|2020|350920|Cajamar|18382|19788|32242|7522|38783|39151|77934|184463.66|604.47||56356.58|236.92||15.5|7.5|23.0|19.0|42.5||62.5|70.5|74.5|||||
104|350925 Cajati|2020|350925|Cajati|6807|6412|11149|4126|14265|14229|28494|51099.46|199.58||17605.92|381.0||7.5|3.0|10.5|16.0|11.5||30.0|34.5|37.0|||||
105|350930 Cajobi|2020|350930|Cajobi|1764|2243|4606|1983|5464|5132|10596|25081.78|7.31||14323.83|2.58||3.5|0.0|3.5|7.0|4.5||8.5|8.5|10.5|||||
106|350940 Cajuru|2020|350940|Cajuru|5529|5818|10867|4179|13150|13243|26393|80418.15|12495.02||37380.0|793.5||5.0|7.0|12.0|20.0|31.0||59.0|71.0|75.0|||||
107|350945 Campina do Monte Alegre|2020|350945|Campina do Monte Alegre|1259|1306|2551|941|3096|2961|6057|222.31|70.97||839.33|27.83||1.0|0.0|1.0|4.0|0.0||2.0|2.0|4.0|||||
108|350950 Campinas|2020|350950|Campinas|219786|257812|530392|205802|585397|628395|1213792|9122995.81|157197.96||328086.67|47882.83||273.0|344.5|617.5|156.0|887.5||1652.0|1885.0|1917.0|||||
109|350960 Campo Limpo Paulista|2020|350960|Campo Limpo Paulista|18348|18993|36319|11881|41755|43786|85541|617059.24|10896.5||56120.42|616.67||16.0|3.0|19.0|18.0|8.0||19.5|25.5|30.5|||||
110|350970 Campos do Jordão|2020|350970|Campos do Jordão|10996|12200|22452|6757|25597|26808|52405|67490.97|85.14||27835.83|31.58||9.5|7.0|16.5|22.5|30.5||71.0|80.5|82.5|||||
111|350980 Campos Novos Paulista|2020|350980|Campos Novos Paulista|1083|1093|1988|833|2574|2423|4997|741.39|||4429.83|||3.0|0.0|3.0|2.0|0.0||1.0|1.0|2.0|||||
112|350990 Cananéia|2020|350990|Cananéia|2713|2679|4921|2228|6301|6240|12541|921.22|64.18||6422.58|25.17||1.5|0.0|1.5|7.0|0.0||7.0|7.0|8.0|||||
113|350995 Canas|2020|350995|Canas|1406|1219|2032|547|2615|2589|5204|5661.47|0.0||958.58|0.0||2.0|0.0|2.0|3.0|1.0||2.0|2.0|4.0|||||
114|351000 Cândido Mota|2020|351000|Cândido Mota|5914|6228|13309|5895|15307|16039|31346|80277.44|5966.29||17253.17|634.33||7.0|8.5|15.5|14.0|30.0||74.0|77.0|81.0|||||
115|351010 Cândido Rodrigues|2020|351010|Cândido Rodrigues|411|513|1235|640|1406|1393|2799|735.01|0.0||1179.0|0.0||1.0|0.0|1.0|2.0|0.0||1.0|1.0|2.0|||||
116|351015 Canitar|2020|351015|Canitar|1318|1342|2051|581|2684|2608|5292|3417.93|0.21||2616.75|0.08||1.0|0.0|1.0|3.0|0.0||2.0|2.0|3.0|||||
117|351020 Capão Bonito|2020|351020|Capão Bonito|9950|10630|19258|7280|23511|23607|47118|48626.05|243.33||7494.17|144.25||10.0|2.0|12.0|24.5|14.0||43.0|49.0|53.0|||||
118|351030 Capela do Alto|2020|351030|Capela do Alto|4389|5020|8824|2752|11070|9915|20985|52420.39|293.02||17358.92|470.58||3.0|3.0|6.0|12.0|2.0||13.0|16.0|18.0|||||
119|351040 Capivari|2020|351040|Capivari|11983|12703|23967|7726|28623|27756|56379|69771.1|256.72||20004.08|385.83||11.0|22.0|33.0|20.0|47.0||138.5|141.5|143.5|||||
120|351050 Caraguatatuba|2020|351050|Caraguatatuba|26300|26833|51485|18771|60912|62477|123389|1005974.84|660.05||84748.58|929.33||20.0|27.5|47.5|53.5|89.0||170.5|201.5|209.5|||||
121|351060 Carapicuíba|2020|351060|Carapicuíba|90008|93873|169620|49682|195241|207942|403183|836043.01|767.15||90213.5|667.0||40.0|9.0|49.0|41.5|61.0||96.0|112.0|117.0|||||
122|351070 Cardoso|2020|351070|Cardoso|2236|2196|5376|2541|6179|6170|12349|175022.59|7.78||3756.0|2.75||3.0|1.0|4.0|10.0|5.0||19.0|19.0|21.0|||||
123|351080 Casa Branca|2020|351080|Casa Branca|5409|6456|13440|5215|16245|14275|30520|119087.17|178.22||21916.67|1359.75||22.5|5.0|27.5|16.5|14.0||65.5|71.5|75.5|||||
